id,arabic,translate_id,narator,hadith_scholar,source,hadith_no,level_of_hadith
190,أنَّ حَمْزَةَ بنَ عَمْرٍو الأسْلَمِيَّ قالَ للنبيِّ صَلَّى اللهُ عليه وسلَّمَ: أأَصُومُ في السَّفَرِ؟ - وكانَ كَثِيرَ الصِّيَامِ -، فَقالَ: إنْ شِئْتَ فَصُمْ، وإنْ شِئْتَ فأفْطِرْ,"“Hamzah bin Amr Al Aslami bertanya kepada Nabi Shallallahu'alaihi Wasallam: ""Apakah aku boleh puasa ketika safar?"". Dan Hamzah adalah orang yang banyak puasa. Nabi bersabda: ""Jika engkau ingin, silakan puasa. Jika engkau ingin, silakan tidak puasa"".”",Aisyah,Al Bukhari,Shahih Al Bukhari,1943,Shahih
191,أنَّ داوُدَ النبيَّ عليه السَّلامُ، كانَ لا يَأْكُلُ إلَّا مِن عَمَلِ يَدِهِ,“Sesungguhnya Nabi Daud 'alaihissalam tidaklah makan kecuali dari jerih payah tangannya”,Abu Hurairah,Al Bukhari,Shahih Al Bukhari,2073,Shahih
192,رَأَيْتُ رَسولَ اللَّهِ صَلَّى اللهُ عليه وسلَّمَ يَأْكُلُ الرُّطَبَ بالقِثَّاءِ,“Aku pernah melihat Rasulullah Shallallahu'alaihi Wasallam memakan kurma basah dengan mentimun”,Abdullah bin Ja'far bin Abi Thalib,Al Bukhari,Shahih Al Bukhari,5449,Shahih
193,رَأَيْتُ النبيَّ صَلَّى اللهُ عليه وسلَّمَ يَأْكُلُ الرُّطَبَ بالقِثَّاءِ,“Aku pernah melihat Nabi Shallallahu'alaihi Wasallam memakan kurma basah dengan mentimun”,Abdullah bin Ja'far bin Abi Thalib,Al Bukhari,Shahih Al Bukhari,5447,Shahih
194,رَأَيْتُ النبيَّ صَلَّى اللهُ عليه وسلَّمَ يَأْكُلُ دَجَاجًا,“Aku pernah melihat Nabi Shallallahu'alaihi Wasallam makan daging ayam”,Abu Musa Al Asy'ari,Muslim bin Hajjaj,Shahih Muslim,1649,Shahih
195,رَأَيْتُ النبيَّ صَلَّى اللهُ عليه وسلَّمَ يَأْكُلُ دَجَاجًا,“Aku pernah melihat Nabi Shallallahu'alaihi Wasallam makan daging ayam”,Abu Musa Al Asy'ari,Al Bukhari,Shahih Al Bukhari,5517,Shahih
196,إنَّ المُؤْمِنَ يَأْكُلُ في مِعًى واحِدٍ، وإنَّ الكافِرَ أوِ المُنافِقَ - فلا أدْرِي أيَّهُما قالَ عُبَيْدُ اللَّهِ - يَأْكُلُ في سَبْعَةِ أمْعاءٍ,"“Seorang mukmin itu makan dengan satu usus, sedangkan orang kafir atau orang munafik (aku ragu dengan apa yang diucapkan Ibnu Umar) makan dengan tujuh usus”",Abdullah bin Umar,Al Bukhari,Shahih Al Bukhari,5394,Shahih
197,يَأْكُلُ المُسْلِمُ في مِعًى واحِدٍ، والكافِرُ يَأْكُلُ في سَبْعَةِ أمْعاءٍ,"“Seorang mukmin itu makan dengan satu usus, sedangkan orang kafir makan dengan tujuh usus”",Abu Hurairah,Al Bukhari,Shahih Al Bukhari,5396,Shahih
198,لا تُصاحِبْ إِلَّا مُؤْمِنًا ، ولا يَأْكُلْ طَعَامَكَ إِلَّا تَقِيٌّ,"“Janganlah engkau berteman kecuali dengan orang yang beriman, dan jangan makqn makananmu kecuali orang yang bertakwa”",Abu Sa'id Al Khudri,Ibnu Hibban,Shahih Ibnu Hibban,554,Shahih
199,لَا يَفْرَكْ مُؤْمِنٌ مُؤْمِنَةً، إِنْ كَرِهَ مِنْهَا خُلُقًا رَضِيَ مِنْهَا آخَرَ أَوْ قَالَ: غَيْرَهُ,"“Janganlah seorang mukmin membenci wanita mukminah. Jika dia membenci salah satu perangainya, niscaya dia akan ridha dengan perangainya yang lain”",Abu Hurairah,Muslim bin Hajjaj,Shahih Muslim,1469,Shahih
200,ما توادَّ اثنانِ في اللهِ فيُفَرَّقُ بينهما إلَّا بذنْبٍ يُحْدِثُهُ أحدُهما,"“Tidaklah dua orang yang saling mencintai, kemudian keduanya berpisah, kecuali karena dosa yang dilakukan salah satunya”",Anas bin Malik,Muhammad Nashiruddin Al Albani,Shahih Al Adabul Mufrad,401,Shahih
201,لا يحِلُّ للمرأةِ أن تصومَ وزَوجُها شاهِدٌ إلَّا بإذنِه، ولا تأذَنْ في بيته إلا بإذنِه,“Tidak halal bagi seorang wanita untuk berpuasa sedangkan suaminya hadir (tidak sedang safar) kecuali dengan seizinnya. Dan tidak halal seorang wanita membiarkan orang lain masuk kecuali dengan seizin suaminya”,Abu Hurairah,Al Bukhari,Shahih Al Bukhari,5195,Shahih
202,كُنَّا جُلُوسًا عِنْدَ رَسولِ اللهِ صَلَّى اللَّهُ عليه وسلَّمَ، إذْ نَظَرَ إلى القَمَرِ لَيْلَةَ البَدْرِ، فَقالَ: أَما إنَّكُمْ سَتَرَوْنَ رَبَّكُمْ كما تَرَوْنَ هذا القَمَرَ، لا تُضَامُّونَ في رُؤْيَتِهِ، فَإِنِ اسْتَطَعْتُمْ أَنْ لا تُغْلَبُوا علَى صَلَاةٍ قَبْلَ طُلُوعِ الشَّمْسِ، وَقَبْلَ غُرُوبِهَا، يَعْنِي العَصْرَ وَالْفَجْرَ، ثُمَّ قَرَأَ جَرِيرٌ {وَسَبِّحْ بحَمْدِ رَبِّكَ قَبْلَ طُلُوعِ الشَّمْسِ وَقَبْلَ غُرُوبِهَا}[طه:130],"“Jarir berkata: Kami pernah duduk-duduk disisi Rasulullah shallallahu 'alaihi wasallam, tiba-tiba beliau melihat bulan di malam purnama dan berujar; ""Ketahuilah, kalian akan melihat Rabb kalian sebagaimana kalian melihat bulan ini, kalian tidak kesulitan melihatnya, sekiranya kalian mampu untuk tidak keberatan mendirikan shalat sebelum terbit matahari dan sebelum terbenamnya, maksudnya shalat ashar dan shubuh (fajar)."" Kemudian Jarir membacakan ayat ""Dan bertasbihlah dengan memuji Tuhanmu sebelum terbit matahari dan sebelum terbenamnya"" (QS. Thaha: 130)”",Jarir bin Abdillah,Muslim bin Hajjaj,Shahih Muslim,633,Shahih
203,عن محمد، قال: إِمَّا تَفَاخَرُوا وإمَّا تَذَاكَرُوا: الرِّجَالُ في الجَنَّةِ أَكْثَرُ أَمِ النِّسَاءُ؟ فَقالَ أَبُو هُرَيْرَةَ: أَوَ لَمْ يَقُلْ أَبُو القَاسِمِ صَلَّى اللَّهُ عليه وَسَلَّمَ: إنَّ أَوَّلَ زُمْرَةٍ تَدْخُلُ الجَنَّةَ علَى صُورَةِ القَمَرِ لَيْلَةَ البَدْرِ، وَالَّتي تَلِيهَا علَى أَضْوَإِ كَوْكَبٍ دُرِّيٍّ في السَّمَاءِ، لِكُلِّ امْرِئٍ منهمْ زَوْجَتَانِ اثْنَتَانِ، يُرَى مُخُّ سُوقِهِما مِن وَرَاءِ اللَّحْمِ، وَما في الجَنَّةِ أَعْزَبُ,"“Dari Muhammad, ia berkata: Mungkin mereka saling membangga-banggakan diri atau menyebut-nyebut bahwa kaum lelaki lebih banyak disurga dari pada kaum wanita, lalu Abu Hurairah berkata: Bukankah Abu Al Qasim Shallallahu 'alaihi wa Salam bersabda: ""Sesungguhnya golongan pertama yang masuk surga wujudnya seperti bulan di malam purnama, golongan selanjutnya wujudnya seperti bintang paling terang di langit dan setiap lelaki diantara mereka memiliki dua istri, tulang betis keduanya terlihat dari baik daging dan disurga tidak ada orang yang menjomblo"".”",Abu Hurairah,Muslim bin Hajjaj,Shahih Muslim,2834,Shahih
204,كفى بالمرءِ إثمًا أن يضَيِّعَ من يَقُوتُ,“Cukuplah seseorang itu berdosa bila ia menyia-nyiakan orang yang menjadi tanggungannya”,Abdullah bin 'Amr bin Al Ash,Ahmad Syakir,Takhrij Musnad Ahmad,11/72,Sanadnya shahih
205,كفى بالمرءِ إثمًا أن يضَيِّعَ من يَقُوتُ,“Cukuplah seseorang itu berdosa bila ia menyia-nyiakan orang yang menjadi tanggungannya”,Abdullah bin 'Amr bin Al Ash,As Suyuthi,Al Jami' Ash Shaghir,6219,Shahih
206,كفى بالمرءِ إثمًا أن يضَيِّعَ من يَقُوتُ,“Cukuplah seseorang itu berdosa bila ia menyia-nyiakan orang yang menjadi tanggungannya”,Abdullah bin 'Amr bin Al Ash,Al Hakim,Al Mustadrak 'ala Shahihain,1535,Sanadnya shahih
207,كفى بالمرءِ إثمًا أن يضَيِّعَ من يَقُوتُ,“Cukuplah seseorang itu berdosa bila ia menyia-nyiakan orang yang menjadi tanggungannya”,Abdullah bin 'Amr bin Al Ash,Ibnu Hibban,Shahih Ibnu Hibban,4240,Shahih
208,البسوا مِن ثيابِكم البياضَ ؛ فإنها أطهرُ وأطيبُ ، وكفِّنوا فيه موتاكم,“Pakailah pakaian yang berwarna putih. Karena itu adalah pakaian yang paling bersih dan paling baik. Dan kafanilah mayit dengan kain warna putih.”,Samurah bin Jundub,Muhammad Nashiruddin Al Albani,Shahih An Nasa'i,5337,Shahih
209,خيرُ ثيابِكمُ البَياضُ فَكفِّنوا فيها مَوتاكم والْبَسوها,“Sebaik-baik pakaian adalah yang berwarna putih. Kafanilah mayit dengan kain warna putih dan pakailah pakaian putih.”,Abdullah bin Abbas,Muhammad Nashiruddin Al Albani,Shahih Ibnu Majah,1210,Shahih
210,البَسوا من ثيابكم البياضَ، فإنها من خيرِ ثيابِكم، وكفِّنوا فيها موتاكم,"“Pakailah pakaian yang berwarna putih, karena itu adalah sebaik-baik pakaian kalian. Dan kafanilah mayit dengan kain warna putih.”",Abdullah bin Abbas,Muhammad Nashiruddin Al Albani,Shahih At Tirmidzi,994,Shahih
211,البَسوا من ثيابكم البياضَ، فإنها من خيرِ ثيابِكم، وكفِّنوا فيها موتاكم,"“Pakailah pakaian yang berwarna putih, karena itu adalah sebaik-baik pakaian kalian. Dan kafanilah mayit dengan kain warna putih.”",Abdullah bin Abbas,Abu Isa At Tirmidzi,Sunan At Tirmidzi,994,Hasan shahih
212,البَسوا مِن ثيابِكم البَياضَ؛ فإنَّها خيرُ ثيابِكم، وكفِّنوا فيها موتاكم، وإنَّ خيرَ أكحالِكم الإِثْمِدُ: يَجْلو البصَرَ، ويُنبِتُ الشَّعَرَ,"“Pakailah pakaian yang berwarna putih, karena itu adalah sebaik-baik pakaian kalian. Dan kafanilah mayit dengan kain warna putih. Dan sebaik-baik celak kalian adalah itsmid. Ia dapat mencerahkan pandangan dan menumbuhkan rambut.”",Abdullah bin Abbas,Muhammad Nashiruddin Al Albani,Shahih Abu Daud,4061,Shahih
213,رُصُّوا صُفُوفَكُمْ ، وَقَارِبُوا بَيْنَهَا ، وَحَاذُوا بِالأعْنَاقِ؛ فَوَالَّذِي نَفْسِي بِيَدِهِ إنِّي لأَرَى الشَّيْطَانَ يَدْخُلُ مِنْ خَلَلِ الصَّفِّ ، كَأَنَّهَا الحَذَفُ,"“Rapatkanlah shaf-shaf kalian! Dekatkanlah di antara shaf-shaf tersebut! Sejajarkan leher-leher. Demi Dzat Yang jiwaku berada di tangan-Nya, sesungguhnya aku benar-benar melihat setan masuk dari celah shaf, seakan-akan setan itu anak-anak kambing”",Anas bin Malik,Muhammad Nashiruddin Al Albani,Shahih Abu Daud,667,Shahih
214,نَهَى رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ عَنْ مَطْعَمَيْنِ عَنْ الْجُلُوسِ عَلَى مَائِدَةٍ يُشْرَبُ عَلَيْهَا الْخَمْرُ وَأَنْ يَأْكُلَ الرَّجُلُ وَهُوَ مُنْبَطِحٌ عَلَى بَطْنِهِ,“Rasulullah shallallahu ‘alaihi wa sallam telah melarang dua cara makan (1) duduk pada jamuan yang di dalamnya dihidangkan khamr; dan (2) seseorang makan dalam keadaan tengkurap”,Umar bin Khathab,Muhammad Nashiruddin Al Albani,Shahih Abu Daud,3774,Shahih
215,إنَّه مِن أطيَبِ ما أكَلَ الرَّجُلُ مِن كَسْبِه، وولَدُه مِن كَسْبِه,“Pendapatan yang terbaik dari seseorang adalah hasil jerih payah tangannya. Dan anaknya adalah hasil jerih payahnya.”,Aisyah,Muhammad Nashiruddin Al Albani,Shahih An Nasa'i,4463,Shahih
216,إنَّه مِن أطيَبِ ما أكَلَ الرَّجُلُ مِن كَسْبِه، وولَدُه مِن كَسْبِه,“Pendapatan yang terbaik dari seseorang adalah hasil jerih payah tangannya. Dan anaknya adalah hasil jerih payahnya.”,Aisyah,Muhammad Nashiruddin Al Albani,Shahih Ibnu Majah,1751,Shahih
217,إنَّه مِن أطيَبِ ما أكَلَ الرَّجُلُ مِن كَسْبِه، وولَدُه مِن كَسْبِه,“Pendapatan yang terbaik dari seseorang adalah hasil jerih payah tangannya. Dan anaknya adalah hasil jerih payahnya.”,Aisyah,Muhammad Nashiruddin Al Albani,Shahih Abu Daud,3528,Shahih
218,النَّبيُّ صلَّى اللَّهُ عليْهِ وسلَّمَ في الجنَّةِ والشَّهيدُ في الجنَّةِ والمولودُ في الجنَّةِ والوئيدُ في الجنَّةِ,"“Nabi Shallallahu'alaihi Wasallam akan masuk surga, orang yang mati syahid (di medan perang) akan masuk surga, bayi yang lahir dalam keadaan meninggal akan masuk surga, bayi yang dibunuh orang tuanya dalam keadaan hidup juga akan masuk surga”",Hasna binti Mu'awiyah Ash Sharimiyyah,Muhammad Nashiruddin Al Albani,Shahih Abu Daud,2521,Shahih
219,اطَّلَعْتُ في الجَنَّةِ فَرَأَيْتُ أكْثَرَ أهْلِها الفُقَراءَ، واطَّلَعْتُ في النَّارِ فَرَأَيْتُ أكْثَرَ أهْلِها النِّساءَ,"“Aku pernah melihat surga, dan ternyata paling banyak penghuninya dari kalangan orang fakir. Aku pernah melihat neraka dan ternyata paling banyak penghuninya dari kalangan wanita.”",Imran bin Hushain,Al Bukhari,Shahih Al Bukhari,3241,Shahih
220,اطَّلَعْتُ في الجَنَّةِ فَرَأَيْتُ أكْثَرَ أهْلِها الفُقَراءَ، واطَّلَعْتُ في النَّارِ فَرَأَيْتُ أكْثَرَ أهْلِها النِّساءَ,"“Aku pernah melihat surga, dan ternyata paling banyak penghuninya dari kalangan orang fakir. Aku pernah melihat neraka dan ternyata paling banyak penghuninya dari kalangan wanita.”",Imran bin Hushain,Al Bukhari,Shahih Al Bukhari,6546,Shahih
221,اطَّلَعْتُ في الجَنَّةِ فَرَأَيْتُ أكْثَرَ أهْلِها الفُقَراءَ، واطَّلَعْتُ في النَّارِ فَرَأَيْتُ أكْثَرَ أهْلِها النِّساءَ,"“Aku pernah melihat surga, dan ternyata paling banyak penghuninya dari kalangan orang fakir. Aku pernah melihat neraka dan ternyata paling banyak penghuninya dari kalangan wanita.”",Imran bin Hushain,Al Bukhari,Shahih Al Bukhari,6449,Shahih
222,اطَّلَعْتُ في الجَنَّةِ فَرَأَيْتُ أكْثَرَ أهْلِها الفُقَراءَ، واطَّلَعْتُ في النَّارِ فَرَأَيْتُ أكْثَرَ أهْلِها النِّساءَ,"“Aku pernah melihat surga, dan ternyata paling banyak penghuninya dari kalangan orang fakir. Aku pernah melihat neraka dan ternyata paling banyak penghuninya dari kalangan wanita.”",Imran bin Hushain,Al Bukhari,Shahih Al Bukhari,5198,Shahih
223,أكْثرُ مُنافقي أمَّتي قرَّاؤُها,“Kebanyakan orang munafik dari kalangan umatku adalah para pembaca Al Qur'an”,Abdullah bin 'Amr bin Al Ash,Muhammad Nashiruddin Al Albani,As Silsilah Al Ahadits Ash Shahihah,750,Shahih li ghairihi
224,أكْثرُ مُنافقي أمَّتي قرَّاؤُها,“Kebanyakan orang munafik dari kalangan umatku adalah para pembaca Al Qur'an”,Abdullah bin 'Amr bin Al Ash,Ahmad Syakir,Takhrij Musnad Ahmad,10/125,Sanadnya shahih
225,إنَّ المختلعاتِ والمنتزعاتِ هنَّ المنافقاتُ,"“Sesungguhnya para wanita yang mengajukan khulu’ dan melepaskan dirinya dari suaminya (tanpa alasan yang kuat), mereka itulah para wanita munafik”",Uqbah bin Amir,Muhammad Nashiruddin Al Albani,Shahih Jami' Ash Shaghir,1938,Shahih
226,إنَّ المختلعاتِ والمنتزعاتِ هنَّ المنافقاتُ,"“Sesungguhnya para wanita yang mengajukan khulu’ dan melepaskan dirinya dari suaminya (tanpa alasan yang kuat), mereka itulah para wanita munafik”",Uqbah bin Amir,Al Haitsami,Majma' Az Zawaid,5/8,"Di dalamnya terdapat Ibnu ar-Rabi', ia di-tsiqah-kan oleh Ats Tsauri dan Syu'bah namun pada dirinya ada kelemahan. Sedangkan perawi yang lain adalah perawi shahih."
227,الْمُخْتَلِعَاتُ وَالْمُنْتَزِعَاتُ هُنَّ الْمُنَافِقَاتُ,"“Para wanita yang mengajukan khulu’ dan melepaskan dirinya dari suaminya (tanpa alasan yang kuat), mereka itulah para wanita munafik”",Abu Hurairah,Ahmad Syakir,Umdatut Tafsir,1/279,Shahih
228,الْمُخْتَلِعَاتُ وَالْمُنْتَزِعَاتُ هُنَّ الْمُنَافِقَاتُ,"“Para wanita yang mengajukan khulu’ dan melepaskan dirinya dari suaminya (tanpa alasan yang kuat), mereka itulah para wanita munafik”",Abu Hurairah,Muhammad Nashiruddin Al Albani,As Silsilah Al Ahadits Ash Shahihah,632,Shahih
229,اللَّهمَّ إنِّي أعوذُ بِكَ منَ الفقرِ والقلَّةِ والذِّلَّةِ وأعوذُ بِكَ مِن أن أظلِمَ أو أُظلَمَ,"“Ya Allah, aku meminta perlindungan kepada-Mu dari kefakiran, kemiskinan, dan kehinaan. Dan aku meminta perlindungan kepada-Mu agar tidak menjadi orang yang zalim atau dizalimi orang lain”",Abu Hurairah,Muhammad Nashiruddin Al Albani,Shahih Abu Daud,1544,Shahih
230,مَا رَأَيْتُ مِنْ نَاقِصَاتِ عَقْلٍ وَدِينٍ أَذْهَبَ لِلُبِّ الرَّجُلِ الْحَازِمِ مِنْ إِحْدَاكُنَّ,"“Tidak pernah aku melihat makhluk yang kurang akalnya dan kurang agamanya namun bisa menghilangkan akal seorang lelaki yang teguh, melainkan kalian”",Abu Sa'id Al Khudri,Muslim bin Hajjaj,Shahih Muslim,80,Shahih
231,مَا رَأَيْتُ مِنْ نَاقِصَاتِ عَقْلٍ وَدِينٍ أَذْهَبَ لِلُبِّ الرَّجُلِ الْحَازِمِ مِنْ إِحْدَاكُنَّ,"“Tidak pernah aku melihat makhluk yang kurang akalnya dan kurang agamanya namun bisa menghilangkan akal seorang lelaki yang teguh, melainkan kalian”",Abu Sa'id Al Khudri,Al Bukhari,Shahih Al Bukhari,304,Shahih
232,اللَّهمَّ توفَّنا مسلمينَ، وأحيِنا مسلمينَ، وألحِقنا بالصَّالحينَ غيرَ خزايا ولا مفتونينَ,"“Ya Allah wafatkanlah aku dalam keadaan Muslim, hidupkanlah aku dalam keadaan Muslim, dan masukkanlah aku dalam golongan orang-orang yang shalih, tanpa ditempa kehinaan atau fitnah”",Rifa'ah bin Rafi,Muhammad Nashiruddin Al Albani,Shahih Al Adabul Mufrad,541,Shahih
233,كيفَ تقولُ في الصَّلاةِ ؟ قالَ : أتشَهَّدُ وأقولُ اللَّهمَّ إنِّي أسألُكَ الجنَّةَ وأعوذُ بِكَ منَ النَّارِ . أما إنِّي لا أُحسِنُ دندنتَكَ ولا دَندنةَ معاذٍ فقالَ النَّبيُّ صلَّى اللَّهُ عليهِ وعلَى آلِه وسلَّمَ حولَها نُدَنْدنُ,"“Rasulullah di tanya: Doa apa yang engkau baca ketika shalat? Beliau menjawab: ""Ya Allah aku memohon surga kepadamu, dan aku meminta perlindungan kepada-Mu dari neraka"". Abu Hurairah mengatakan: Aku tidak terbiasa membaca doa yang engkau baca dan yang dibaca oleh Muadz. Maka Nabi Shallallahu'alaihi Wasallam bersabda: Seputar itulah doa-doa yang kami baca.”",Abu Hurairah,Syu'aib Al Arnauth,Takhrij Shahih Ibni Hibban,868,Shahih
234,كيفَ تقولُ في الصَّلاةِ ؟ قالَ : أتشَهَّدُ وأقولُ اللَّهمَّ إنِّي أسألُكَ الجنَّةَ وأعوذُ بِكَ منَ النَّارِ . أما إنِّي لا أُحسِنُ دندنتَكَ ولا دَندنةَ معاذٍ فقالَ النَّبيُّ صلَّى اللَّهُ عليهِ وعلَى آلِه وسلَّمَ حولَها نُدَنْدنُ,"“Rasulullah di tanya: Doa apa yang engkau baca ketika shalat? Beliau menjawab: ""Ya Allah aku memohon surga kepadamu, dan aku meminta perlindungan kepada-Mu dari neraka"". Abu Hurairah mengatakan: Aku tidak terbiasa membaca doa yang engkau baca dan yang dibaca oleh Muadz. Maka Nabi Shallallahu'alaihi Wasallam bersabda: Seputar itulah doa-doa yang kami baca.”",Abu Hurairah,Ibnu Hibban,Shahih Ibnu Hibban,868,Shahih
235,كيفَ تقولُ في الصَّلاةِ ؟ قالَ : أتشَهَّدُ وأقولُ اللَّهمَّ إنِّي أسألُكَ الجنَّةَ وأعوذُ بِكَ منَ النَّارِ . أما إنِّي لا أُحسِنُ دندنتَكَ ولا دَندنةَ معاذٍ فقالَ النَّبيُّ صلَّى اللَّهُ عليهِ وعلَى آلِه وسلَّمَ حولَها نُدَنْدنُ,"“Rasulullah di tanya: Doa apa yang engkau baca ketika shalat? Beliau menjawab: ""Ya Allah aku memohon surga kepadamu, dan aku meminta perlindungan kepada-Mu dari neraka"". Abu Hurairah mengatakan: Aku tidak terbiasa membaca doa yang engkau baca dan yang dibaca oleh Muadz. Maka Nabi Shallallahu'alaihi Wasallam bersabda: Seputar itulah doa-doa yang kami baca.”",Abu Hurairah,Syu'aib Al Arnauth,Takhrij Sunan Abu Daud,792,Shahih
236,قالوا يا رَسولَ اللَّهِ، أيُّ الإسْلَامِ أفْضَلُ؟ قالَ: مَن سَلِمَ المُسْلِمُونَ مِن لِسَانِهِ، ويَدِهِ,"“Para sahabat bertanya: Wahai Rasulullah, orang Islam manakah yang paling utama? Rasulullah shallallahu 'alaihi wasallam menjawab: ""Orang yang kaum Muslimin selamat dari keburukan lisan dan tangannya""”",Abu Musa Al Asy'ari,Al Bukhari,Shahih Al Bukhari,11,Shahih
237,المُسْلِمُ مَن سَلِمَ المُسْلِمُونَ مِن لِسَانِهِ ويَدِهِ، والمُهَاجِرُ مَن هَجَرَ ما نَهَى اللَّهُ عنْه,“Seorang muslim sejati adalah orang yang kaum Muslimin selamat dari keburukan lisan dan tangannya. Dan seorang yang hijrah adalah orang yang meninggalkan apa yang dilarang oleh Allah.”,Abdullah bin 'Amr bin Al Ash,Al Bukhari,Shahih Al Bukhari,6484,Shahih
238,المُسْلِمُ مَن سَلِمَ المُسْلِمُونَ مِن لِسَانِهِ ويَدِهِ، والمُهَاجِرُ مَن هَجَرَ ما نَهَى اللَّهُ عنْه,“Seorang muslim sejati adalah orang yang kaum Muslimin selamat dari keburukan lisan dan tanganny. Dan seorang yang hijrah adalah orang yang meninggalkan apa yang dilarang oleh Allah.”,Abdullah bin 'Amr bin Al Ash,Al Bukhari,Shahih Al Bukhari,10,Shahih
